gender,age,study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,internet_access,parental_support,final_score
Female,21,1.6,92.3,49.1,5,7.2,Yes,Yes,Medium,43.2
Female,22,5.8,67.7,40.1,7,9.0,Yes,Yes,High,58.3
Female,17,5.6,94.3,79.5,5,6.5,Yes,Yes,Medium,70.2
Female,22,2.9,60.1,80.3,6,8.6,Yes,Yes,High,59.7
Female,17,7.7,86.7,68.3,6,6.1,Yes,Yes,Medium,68.7
Male,19,2.1,79.3,48.9,6,4.7,Yes,Yes,High,43.2
Male,21,4.0,59.3,44.6,7,5.4,No,Yes,Low,47.2
Female,21,7.6,65.9,41.1,6,6.4,Yes,Yes,High,62.4
Male,20,3.9,55.6,49.1,3,5.5,Yes,Yes,High,44.7
Male,22,5.5,76.1,89.0,9,4.5,No,Yes,Low,66.4
Male,17,3.8,68.6,53.3,6,8.6,Yes,Yes,Low,53.8
Male,17,2.9,81.9,59.5,5,8.3,Yes,Yes,Medium,51.6
Female,18,7.9,68.4,45.8,8,7.8,Yes,No,High,62.2
Male,20,3.9,68.5,52.2,5,5.3,No,Yes,Medium,57.3
Female,18,7.3,88.4,68.6,8,5.0,No,Yes,Medium,67.0
Male,18,2.6,57.2,73.4,5,4.8,Yes,Yes,Low,47.7
Male,18,2.5,95.6,53.5,7,7.8,No,No,Low,56.2
Male,22,1.2,93.4,43.2,5,8.7,No,Yes,High,65.7
Female,22,5.6,85.1,61.5,7,6.4,No,Yes,Low,54.3
Male,19,3.6,81.7,52.9,7,5.0,No,Yes,Medium,55.3
Female,19,7.1,95.2,52.1,6,6.8,No,No,High,63.3
Male,18,4.3,63.3,92.8,3,6.1,Yes,Yes,Medium,57.6
Female,20,7.8,58.6,73.9,8,6.2,Yes,Yes,Medium,68.1
Male,17,2.3,65.8,70.6,6,7.3,No,No,Low,44.5
Female,22,7.1,90.8,62.9,6,7.7,No,Yes,Medium,67.7
Female,20,6.4,56.6,63.6,9,5.0,No,Yes,Medium,56.6
Male,21,6.4,81.2,69.7,7,4.7,No,Yes,High,72.2
Female,22,6.9,99.8,78.3,7,9.0,No,Yes,Medium,76.2
Male,22,6.3,93.5,78.6,8,5.5,Yes,Yes,Medium,74.7
Male,19,5.4,78.5,49.4,5,4.7,No,No,Medium,49.9
Male,17,1.9,57.9,67.5,5,5.4,No,Yes,Medium,45.2
Male,17,1.2,92.4,62.7,10,4.7,No,Yes,High,60.1
Male,21,7.4,82.0,87.9,6,6.3,No,No,Medium,66.6
Male,21,5.3,60.2,74.7,10,8.1,No,Yes,Medium,67.4
Male,22,6.6,59.2,69.3,4,6.0,Yes,Yes,Medium,56.5
Male,18,4.4,95.9,46.3,4,6.5,No,Yes,Medium,48.4
Male,19,1.8,85.1,73.3,10,7.5,Yes,Yes,Low,51.4
Male,19,1.9,92.3,46.4,5,6.8,No,Yes,Medium,53.4
Male,22,5.8,94.6,58.5,4,8.4,No,Yes,Medium,58.3
Female,20,4.0,80.7,47.9,9,8.4,Yes,Yes,High,69.5
Female,18,2.4,78.3,78.1,5,4.5,No,Yes,Medium,57.8
Male,22,4.4,74.4,51.3,7,8.0,Yes,Yes,High,55.9
Male,18,1.4,69.3,61.6,6,6.6,Yes,No,High,47.1
Male,18,5.1,74.6,89.3,3,8.9,Yes,Yes,Medium,77.3
Male,18,2.9,89.8,51.2,6,6.7,No,Yes,Medium,60.3
Male,22,6.6,82.1,67.9,10,8.9,No,Yes,Low,71.3
Male,19,3.2,95.2,63.1,5,7.9,No,Yes,Medium,58.2
Male,19,4.2,75.0,41.0,10,5.6,Yes,Yes,High,57.7
Male,18,1.1,82.3,83.6,9,6.9,No,Yes,Medium,62.7
Female,20,1.5,83.4,43.8,5,9.0,No,No,Medium,42.5
Male,17,3.7,81.6,66.1,6,8.4,Yes,No,Medium,50.7
Female,22,4.4,86.6,70.8,9,4.9,Yes,Yes,Medium,59.7
Male,17,5.2,65.7,74.6,9,7.7,Yes,Yes,Low,66.1
Male,20,3.0,78.1,77.9,9,6.1,No,Yes,High,60.6
Female,22,5.9,59.7,53.9,8,4.5,No,Yes,Medium,57.2
Male,18,7.0,72.3,40.5,5,6.3,No,Yes,High,53.8
Female,19,6.5,76.9,79.8,4,5.6,Yes,Yes,Medium,61.5
Male,17,1.3,84.4,69.5,4,8.2,No,Yes,Medium,54.9
Male,21,4.4,97.8,86.0,5,6.0,Yes,Yes,Medium,67.4
Female,21,1.7,82.0,85.2,5,8.2,Yes,Yes,Low,56.2
Male,20,2.7,88.5,86.4,8,4.5,No,Yes,Medium,66.3
Female,18,7.9,77.8,66.7,4,5.9,Yes,Yes,High,70.7
Male,17,2.0,83.5,58.3,5,5.6,No,No,High,56.9
Female,18,4.5,58.2,83.5,5,5.6,Yes,Yes,Medium,57.8
Female,17,5.3,66.4,64.8,10,4.8,No,Yes,Medium,61.6
Male,20,5.9,71.3,50.1,8,5.3,Yes,Yes,Low,51.6
Male,20,4.9,76.3,87.0,8,7.0,No,Yes,High,70.4
Female,21,1.1,57.1,88.5,6,5.8,Yes,Yes,Low,55.5
Male,18,3.3,61.3,65.6,8,6.4,Yes,Yes,High,66.7
Male,22,4.6,67.5,44.2,3,6.2,No,Yes,Medium,50.7
Male,21,1.6,98.7,61.3,4,8.4,Yes,No,Medium,44.2
Female,18,3.5,69.9,84.2,6,8.6,No,Yes,High,70.4
Female,21,1.2,76.7,89.6,3,6.7,No,Yes,Low,40.8
Female,22,1.6,63.8,51.2,5,6.0,Yes,Yes,Medium,48.6
Female,19,3.8,82.5,43.7,10,5.0,Yes,Yes,Medium,56.0
Female,19,1.9,67.6,88.3,10,8.8,No,Yes,Medium,69.0
Female,19,5.0,64.3,61.4,5,4.8,No,Yes,Medium,47.5
Female,19,5.8,78.2,69.8,6,5.8,No,Yes,Medium,67.8
Female,17,6.6,55.2,93.2,8,5.8,No,Yes,High,67.6
Female,19,2.4,55.3,43.7,9,5.9,No,Yes,Low,42.1
Male,22,2.2,64.9,75.7,10,5.2,Yes,No,High,57.7
Female,20,1.7,56.7,44.1,9,8.0,No,Yes,Medium,41.0
Male,20,5.5,59.9,60.7,5,5.1,No,Yes,Medium,54.7
Male,17,5.9,70.2,84.2,9,7.4,Yes,Yes,Medium,81.9
Male,19,1.2,91.1,63.8,7,5.1,Yes,Yes,Low,62.0
Female,19,7.6,80.7,94.8,6,4.8,Yes,Yes,Low,72.4
Female,19,1.4,78.1,70.7,3,8.6,Yes,Yes,High,59.2
Female,21,4.8,68.2,57.7,6,5.4,No,Yes,Medium,55.8
Female,18,6.0,96.9,52.1,4,8.2,Yes,Yes,Low,60.9
Male,21,7.1,72.9,59.3,8,7.0,Yes,Yes,Low,63.7
Female,18,6.0,58.9,60.5,8,4.9,Yes,Yes,High,65.4
Female,19,6.6,82.8,43.8,6,8.8,No,Yes,High,66.7
Female,19,3.4,60.1,60.3,5,5.6,No,Yes,Medium,46.7
Female,21,6.7,70.5,65.5,5,8.4,Yes,Yes,Low,62.0
Female,21,1.6,77.8,79.8,7,5.3,Yes,Yes,Medium,56.7
Male,18,7.3,94.3,76.1,7,8.3,No,Yes,Low,75.5
Female,20,4.8,77.2,79.0,8,4.6,No,Yes,Low,56.5
Male,18,6.7,86.6,40.5,7,6.8,Yes,Yes,Medium,61.8
Female,21,4.2,99.7,52.0,10,8.0,Yes,Yes,Medium,75.3
Male,22,5.5,60.9,76.4,10,8.7,Yes,Yes,Medium,77.5
Female,21,4.7,67.4,66.6,3,8.6,Yes,Yes,Medium,63.1
Female,22,6.1,72.8,40.3,7,8.2,No,No,High,60.7
Male,17,1.6,74.0,84.2,3,8.5,No,Yes,High,57.7
Male,21,1.4,73.5,82.5,7,5.4,No,Yes,Medium,59.7
Male,17,2.7,95.8,70.2,8,5.8,No,Yes,Medium,67.3
Female,20,2.1,87.1,43.7,8,5.8,Yes,Yes,Medium,42.8
Male,18,7.1,82.4,82.2,3,6.2,No,No,Medium,58.7
Female,22,2.5,68.9,72.1,6,6.3,No,No,High,61.8
Female,18,7.8,92.1,83.0,8,7.0,Yes,Yes,Medium,78.2
Male,17,3.4,98.0,81.3,6,5.2,Yes,Yes,High,63.1
Male,22,2.3,92.0,84.2,5,7.6,No,Yes,High,57.2
Female,18,6.5,55.1,68.5,10,5.3,Yes,Yes,Medium,65.6
Female,21,5.6,83.6,47.7,3,5.9,Yes,Yes,Medium,47.1
Male,19,4.5,57.3,76.9,9,6.8,No,Yes,Low,70.5
Male,17,4.9,66.6,74.1,8,8.1,No,No,Medium,64.4
Male,18,6.0,57.7,80.8,4,7.8,No,Yes,Medium,62.0
Female,17,2.6,82.2,49.3,5,7.4,No,Yes,Medium,51.9
Female,17,8.0,85.9,50.7,6,5.2,Yes,No,High,71.2
Female,22,7.8,60.2,89.0,8,7.0,No,No,Medium,78.4
Female,22,5.6,72.3,81.2,3,4.9,No,Yes,Medium,63.4
Female,19,2.4,75.5,90.0,9,6.2,No,Yes,Medium,61.4
Female,21,5.8,71.6,81.7,7,6.4,Yes,Yes,Medium,67.4
Male,17,1.5,60.4,72.8,9,4.7,No,Yes,Medium,56.8
Female,18,1.2,73.9,76.0,4,5.7,No,No,High,48.0
Female,20,2.8,88.8,88.9,6,8.8,Yes,No,Medium,65.4
Female,17,4.2,58.2,71.8,5,8.8,Yes,Yes,Medium,61.1
Male,17,7.1,58.6,74.8,9,6.1,Yes,Yes,Low,71.8
Female,19,6.1,71.0,48.6,3,4.7,Yes,Yes,Medium,43.9
Female,21,6.2,97.4,66.1,4,5.3,No,No,High,66.7
Male,20,4.0,85.1,79.4,3,6.3,Yes,Yes,Medium,57.7
Female,22,3.4,85.5,54.9,8,8.8,Yes,Yes,High,67.3
Female,22,3.6,71.3,51.1,7,5.1,No,Yes,Medium,55.0
Female,18,7.9,81.7,57.3,5,7.9,Yes,Yes,Low,71.4
Female,20,1.3,55.5,53.3,3,5.0,No,Yes,Low,40.5
Female,22,7.1,83.6,51.8,6,8.9,Yes,Yes,Medium,72.6
Male,18,5.1,96.1,63.4,8,6.2,No,No,Medium,70.6
Male,21,4.1,82.6,89.9,8,8.0,No,No,High,73.3
Male,18,6.1,94.3,67.9,5,6.0,No,Yes,Medium,63.8
Female,22,4.4,87.6,50.3,8,7.3,Yes,Yes,Medium,65.0
Female,19,7.1,60.4,44.2,6,5.4,No,Yes,Medium,59.1
Female,19,7.3,95.6,78.3,3,5.2,Yes,Yes,Medium,65.9
Male,19,4.0,58.0,61.1,5,8.7,Yes,Yes,Medium,57.5
Female,22,2.9,79.0,85.2,10,8.6,Yes,No,Low,66.3
Female,19,5.1,61.4,76.3,8,8.5,No,Yes,Medium,62.5
Male,20,7.4,55.5,83.8,8,7.3,No,Yes,Low,75.1
Female,21,2.5,74.0,55.0,6,8.1,No,No,Medium,51.0
Male,18,5.4,68.3,78.1,7,4.8,Yes,No,Low,69.7
Male,18,5.4,76.9,54.5,7,6.0,Yes,Yes,Medium,53.1
Male,22,6.1,81.0,91.6,9,5.9,No,Yes,Medium,72.2
Female,19,1.9,57.0,75.0,8,7.4,Yes,Yes,High,60.5
Female,19,6.0,60.5,57.8,10,6.1,No,Yes,Medium,69.1
Female,17,7.4,80.1,54.8,3,5.2,Yes,Yes,Medium,60.6
Female,21,2.3,70.4,50.5,5,7.2,No,Yes,Medium,48.3
Female,20,2.7,87.8,78.2,8,8.2,No,No,Low,55.0
Female,18,7.8,84.4,52.0,4,6.2,Yes,Yes,High,60.2
Female,17,2.3,93.1,72.7,5,5.1,Yes,Yes,Low,53.9
Male,17,7.0,86.2,54.6,9,5.4,No,Yes,High,63.8
Female,22,4.4,74.3,76.4,7,5.6,No,Yes,High,62.2
Male,18,2.7,85.3,84.8,10,5.8,Yes,Yes,Medium,69.8
Female,22,7.1,67.4,82.8,8,7.4,Yes,Yes,Medium,70.1
Female,20,4.1,68.8,81.8,6,7.2,No,Yes,Medium,68.9
Female,17,4.6,90.5,50.3,4,7.6,No,Yes,Medium,60.0
Male,17,3.5,75.1,44.9,8,6.1,Yes,Yes,Medium,47.1
Male,21,5.2,90.9,78.4,10,8.2,No,Yes,Low,67.0
Male,20,2.1,92.0,60.3,9,5.4,Yes,Yes,Low,44.8
Male,17,3.7,93.6,63.8,3,6.6,No,Yes,Medium,50.1
Female,20,7.8,96.2,41.7,4,8.1,Yes,Yes,Medium,66.7
Male,18,2.8,74.4,54.3,9,5.3,No,Yes,High,55.3
Female,19,5.6,69.3,41.9,8,5.0,No,No,Low,53.4
Female,17,3.3,81.2,88.4,3,8.5,No,No,High,55.0
Male,21,6.4,71.7,53.4,4,6.0,No,Yes,Medium,59.2
Male,18,1.9,82.0,70.7,3,7.6,No,Yes,Medium,47.9
Male,20,7.8,86.8,42.1,3,4.6,No,Yes,Medium,55.1
Male,22,4.2,86.0,76.7,4,7.6,No,Yes,Medium,59.8
Male,18,2.7,71.9,57.8,4,5.9,No,Yes,Medium,41.4
Male,17,1.5,62.5,89.4,3,4.8,No,No,Medium,42.6
Male,20,2.2,74.4,88.8,9,7.2,No,No,High,70.7
Male,19,4.6,61.4,57.9,10,5.6,Yes,Yes,Medium,63.2
Female,18,3.4,95.1,89.6,7,6.2,No,Yes,Medium,71.0
Male,17,6.8,70.6,94.8,4,4.9,Yes,Yes,High,72.9
Male,21,4.0,62.0,85.4,8,5.2,No,Yes,High,66.2
Female,22,2.7,56.1,86.5,5,5.8,Yes,Yes,Medium,48.2
Male,20,5.3,84.1,53.7,6,4.9,No,Yes,Medium,55.4
Female,18,5.9,83.7,71.7,3,8.6,No,Yes,High,65.3
Female,18,2.2,70.3,43.7,3,4.5,No,Yes,Medium,47.3
Male,19,2.2,58.2,45.2,6,6.7,No,Yes,Medium,47.6
Female,19,1.3,73.4,94.9,7,5.1,Yes,Yes,Medium,66.5
Female,21,6.2,69.0,58.0,6,5.9,Yes,Yes,High,66.3
Female,22,5.6,85.5,81.2,4,8.7,Yes,Yes,Low,61.5
Female,21,4.3,82.3,84.4,6,5.2,No,Yes,High,66.2
Male,17,6.9,71.4,87.2,3,8.8,Yes,Yes,Low,67.4
Female,17,6.6,64.8,94.9,6,5.4,No,Yes,High,68.1
Male,21,5.1,99.5,53.3,5,7.8,Yes,Yes,Medium,59.5
Female,22,7.1,75.4,42.2,8,7.0,Yes,Yes,Medium,62.9
Female,21,2.4,86.0,62.6,4,8.5,Yes,Yes,High,64.3
Female,22,1.8,61.3,47.2,6,7.0,No,No,Medium,35.0
Female,22,2.9,76.9,41.2,3,6.9,No,Yes,Medium,48.7
Male,20,1.4,56.2,59.8,9,5.4,Yes,Yes,Low,43.9
Male,22,4.7,77.7,83.1,8,5.2,No,Yes,Low,56.7
Female,19,7.6,98.4,71.1,4,8.6,Yes,Yes,Medium,77.1
Female,22,1.3,72.3,57.2,3,6.0,No,Yes,Medium,45.2
Male,22,1.9,56.8,76.0,7,6.2,No,No,Low,54.8
Female,22,4.2,56.4,52.8,5,7.9,Yes,Yes,Low,53.4
Female,17,7.5,72.5,40.8,10,6.0,No,Yes,Medium,73.9
Female,19,3.2,62.2,82.0,7,8.8,Yes,No,Medium,64.9
Male,19,4.6,56.1,74.3,10,7.8,No,Yes,High,68.5
Male,21,1.3,89.0,81.9,5,7.2,Yes,Yes,Medium,58.7
Male,20,2.0,75.6,42.1,6,8.5,No,Yes,Low,50.1
Female,22,7.9,68.0,86.0,4,4.7,Yes,Yes,High,67.7
Female,18,7.8,95.5,74.1,6,5.7,No,Yes,Medium,68.3
Male,20,1.0,60.2,71.0,5,6.6,No,Yes,High,48.8
Male,20,7.7,98.0,74.4,5,5.5,No,Yes,High,63.2
Male,19,5.5,69.1,87.5,5,7.8,No,Yes,High,69.7
Male,20,7.1,95.0,72.3,10,8.6,No,Yes,Medium,70.0
Female,22,4.2,82.1,72.0,8,6.4,Yes,Yes,High,68.2
Male,22,4.6,92.2,94.5,3,6.0,Yes,Yes,High,72.1
Female,17,4.4,99.3,81.6,4,8.8,Yes,Yes,Medium,64.6
Male,22,5.7,68.0,64.3,6,6.5,No,Yes,Medium,67.6
Female,22,2.0,98.3,78.9,6,6.7,Yes,No,Medium,53.0
Male,19,1.2,72.5,61.4,7,6.1,No,Yes,Low,51.7
Male,22,3.2,72.3,52.6,10,8.6,No,Yes,Medium,62.7
Male,17,5.9,70.3,72.8,5,7.1,Yes,Yes,Medium,56.2
Male,18,2.4,79.4,91.1,9,7.9,Yes,Yes,Medium,80.7
Female,19,5.7,61.9,91.1,5,8.2,Yes,Yes,Medium,68.2
Male,18,7.8,79.9,58.8,5,6.0,Yes,Yes,Medium,61.1
Female,19,1.7,79.4,69.0,9,6.5,Yes,Yes,Medium,52.6
Female,21,5.7,89.3,51.6,6,8.3,Yes,Yes,High,65.0
Female,20,4.1,92.5,94.8,7,6.1,No,Yes,Medium,68.5
Female,21,7.1,74.8,94.0,3,8.1,No,Yes,Medium,70.4
Male,22,2.2,68.6,75.7,9,8.7,Yes,Yes,Low,58.6
Female,18,5.8,66.7,84.2,10,7.3,Yes,Yes,Medium,77.4
Female,22,6.9,63.8,79.3,8,7.8,Yes,Yes,High,74.2
Female,20,7.6,57.6,72.6,4,8.1,No,Yes,High,58.8
Male,19,5.8,70.4,42.9,10,8.3,No,Yes,Medium,62.4
Male,20,4.5,67.2,65.0,9,6.3,Yes,Yes,High,55.5
Male,17,5.3,98.5,77.1,3,4.7,Yes,Yes,Low,60.2
Male,20,7.1,80.1,77.3,6,6.3,No,Yes,Medium,64.4
Female,17,5.0,70.6,60.5,8,7.5,No,Yes,Low,59.6
Female,20,1.2,81.1,91.8,8,6.5,Yes,Yes,High,71.5
Male,17,7.5,61.3,49.2,8,7.9,No,Yes,Medium,60.1
Female,18,5.8,75.0,67.5,5,6.1,Yes,Yes,Medium,66.5
Female,22,5.7,83.2,78.0,4,7.4,Yes,Yes,High,66.4
Female,22,2.5,77.0,78.3,6,5.3,No,Yes,Medium,63.5
Male,21,5.6,73.1,75.7,6,7.9,No,No,Low,59.6
Male,22,3.8,99.7,55.1,8,7.0,Yes,Yes,High,61.5
Female,19,5.6,94.6,48.6,6,5.4,No,Yes,Medium,61.0
Male,20,1.7,83.1,75.0,4,5.8,Yes,No,Low,46.4
Male,21,5.6,80.6,73.0,4,7.9,No,Yes,Medium,58.6
Male,19,8.0,82.9,49.9,7,6.7,No,Yes,Medium,63.8
Male,19,1.3,64.1,78.8,9,5.5,No,Yes,Low,52.7
Male,17,7.8,72.8,65.0,9,8.9,No,Yes,Medium,79.9
Female,22,3.8,56.8,76.7,7,7.7,Yes,Yes,Low,49.8
Male,18,7.1,76.4,86.1,3,8.8,No,Yes,Medium,68.8
Female,18,6.5,79.4,49.3,9,6.4,No,Yes,High,70.1
Female,21,5.0,65.2,41.1,4,6.6,No,Yes,High,52.2
Male,18,6.2,98.4,82.9,4,8.5,Yes,Yes,Medium,77.3
Female,20,7.1,95.9,73.5,9,6.9,No,Yes,Medium,75.1
Female,18,3.8,87.5,78.5,4,7.7,No,Yes,High,62.1
Female,21,3.3,79.0,86.1,7,5.6,Yes,Yes,Medium,66.3
Male,18,5.7,94.1,84.2,8,6.5,No,Yes,Medium,73.0
Male,20,6.7,60.9,92.9,8,5.1,Yes,Yes,High,74.1
Female,17,6.3,90.6,69.5,6,5.4,Yes,Yes,High,71.9
Male,21,6.6,60.6,66.9,10,4.5,No,Yes,High,66.4
Male,17,4.0,90.7,62.1,10,4.7,No,Yes,High,62.9
Male,17,6.7,67.4,48.5,8,8.9,No,Yes,Medium,61.7
Male,17,1.8,94.5,71.5,5,5.6,Yes,Yes,Medium,60.7
Female,19,4.8,97.5,55.2,7,7.5,No,No,Medium,46.5
Female,22,1.0,61.7,90.7,4,8.3,Yes,Yes,Medium,56.4
Male,19,3.3,75.8,72.1,9,7.0,Yes,Yes,Medium,64.1
Male,22,3.6,99.1,72.6,8,5.2,Yes,Yes,High,60.0
Female,17,3.8,76.8,59.5,7,7.8,No,Yes,High,62.5
Female,21,5.9,93.9,42.9,8,7.2,No,Yes,Medium,64.4
Male,22,3.7,81.5,41.7,3,7.8,No,Yes,High,52.7
Female,20,4.1,71.9,63.3,4,8.0,No,Yes,High,45.7
Male,20,2.7,67.9,44.7,3,8.9,Yes,No,Medium,51.3
Male,18,3.6,64.1,73.4,4,7.1,No,Yes,Medium,50.8
Female,22,2.6,89.3,88.5,7,6.0,No,Yes,Medium,65.9
Female,21,1.5,72.4,88.6,6,7.4,No,Yes,Medium,60.9
Male,19,5.2,78.0,76.2,8,4.8,Yes,No,Low,58.4
Male,17,5.7,77.2,51.6,8,8.5,No,Yes,Medium,66.2
Female,18,5.3,81.0,87.5,5,5.0,No,Yes,Medium,62.4
Male,20,4.2,94.0,88.7,9,6.0,No,No,Medium,60.6
Female,19,3.7,99.1,50.8,3,8.2,No,Yes,High,60.8
Male,19,7.0,73.3,80.6,8,7.2,Yes,Yes,Low,67.8
Female,17,4.6,92.2,55.8,7,6.3,No,Yes,High,58.8
Female,22,4.4,89.4,84.1,6,6.6,Yes,Yes,Medium,65.1
Female,20,1.2,80.8,94.8,9,8.3,No,Yes,Low,63.7
Male,21,3.4,98.0,41.7,7,6.0,No,Yes,High,55.8
Male,19,3.7,64.0,89.4,3,8.4,Yes,Yes,Medium,62.6
Female,17,3.8,59.9,74.2,5,4.9,No,Yes,Medium,47.4
Male,21,5.1,93.4,93.5,8,8.0,No,Yes,High,74.8
Female,22,4.7,74.8,65.6,7,8.3,Yes,Yes,Medium,63.4
Female,20,5.3,93.1,86.6,9,5.3,No,Yes,Medium,80.8
Male,22,6.4,95.2,43.4,4,6.4,Yes,Yes,Low,54.5
Male,19,6.7,57.8,58.4,6,5.2,No,Yes,High,66.1
Female,21,6.0,94.8,43.7,9,7.7,No,Yes,Medium,65.2
Male,21,7.7,75.2,93.6,7,6.9,No,Yes,Medium,74.4
Male,21,1.1,78.0,84.9,6,7.4,No,Yes,Medium,55.2
Female,19,2.4,83.2,86.9,8,5.4,No,Yes,Medium,61.2
Female,19,1.1,96.7,91.6,4,5.5,No,Yes,High,61.2
Male,22,5.5,55.9,44.7,5,4.7,Yes,Yes,Medium,56.5
Female,18,7.3,76.5,61.2,9,5.9,No,Yes,Medium,70.3
Female,22,2.7,85.9,43.9,5,7.0,No,Yes,Medium,53.4
Male,20,7.5,87.5,51.6,4,8.4,Yes,Yes,High,63.0
Female,17,1.4,86.2,52.6,6,7.5,Yes,Yes,Medium,48.9
Female,21,7.5,61.0,65.8,8,6.5,No,Yes,High,67.2
Male,18,3.5,68.5,54.8,7,8.8,No,No,High,59.3
Male,17,1.7,71.1,45.6,4,7.7,Yes,Yes,Medium,42.9
Female,18,4.4,91.2,49.2,3,8.7,Yes,Yes,Medium,58.1
Female,22,2.8,67.5,48.1,6,6.9,Yes,Yes,Medium,45.7
Male,19,3.0,64.5,93.5,5,5.7,No,Yes,High,61.5
Male,21,3.2,98.1,81.8,9,4.7,Yes,No,Medium,69.1
Male,22,6.6,55.4,93.2,4,7.8,No,Yes,Medium,57.7
Male,17,4.8,99.9,64.2,5,5.0,Yes,Yes,High,73.0
Female,17,3.2,85.5,55.3,6,5.9,No,Yes,Medium,51.6
Male,17,5.3,92.3,83.9,5,6.9,Yes,Yes,Medium,59.2
